proteinId	description	modelnotes	defline
1431387	CBM1		Carbohydrate-Binding Module Family 1 protein
1431536	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1431693	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1431722	GH16_21		Glycoside Hydrolase Family 16 protein
1431723	GH16_21		Glycoside Hydrolase Family 16 protein
1431781	GH43_35		Glycoside Hydrolase Family 43 protein
1431901	CE4		Carbohydrate Esterase Family 4 protein
1431953	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
1431956	CE6-CBM13-DOC2-DOC2		Carbohydrate Esterase Family 6  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1431969	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1432019	DOC2-DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1432043	DOC2-DOC2		Non-Catalytic Module Family DOC2
1432233	PL4-DOC2-DOC2		Polysaccharide Lyase Family 4  / Non-Catalytic Module Family DOC2
1432587	CBM18		Carbohydrate-Binding Module Family 18 protein
1432591	GH1		Glycoside Hydrolase Family 1 protein
1432689	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1432914	CBM1-GH6-GH6-GH6		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
1432944	CE6-CBM1		Carbohydrate Esterase Family 6  / Carbohydrate-Binding Module Family 1 protein
1433061	CE4		Carbohydrate Esterase Family 4 protein
1433063	CE4		Carbohydrate Esterase Family 4 protein
1433065	CE4		Carbohydrate Esterase Family 4 protein
1433068	CE4		Carbohydrate Esterase Family 4 protein
1433069	CE4		Carbohydrate Esterase Family 4 protein
1433093	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1433331	CE6-CBM1		Carbohydrate Esterase Family 6  / Carbohydrate-Binding Module Family 1 protein
1433334	DOC2-DOC2-GH5_4-GH5_4-GH5_4-DOC2-DOC2		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
1433444	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1433514	GH3		Glycoside Hydrolase Family 3 protein
1433515	GH3		Glycoside Hydrolase Family 3 protein
1433519	CBM18		Carbohydrate-Binding Module Family 18 protein
1433589	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1433621	CBM48-GH13_8		Carbohydrate-Binding Module Family 48  / Glycoside Hydrolase Family 13 protein
1433628	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1433789	CE1-DOC2-DOC2		Carbohydrate Esterase Family 1  / Non-Catalytic Module Family DOC2
1433888	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1433889	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1433957	CBM13-DOC2-DOC2-CE1		Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1434228	CE8		Carbohydrate Esterase Family 8 protein
1434229	PL3_2	(fragment)  splicing problem;	Polysaccharide Lyase Family 3 protein
1434237	GT71		Glycosyltransferase Family 71 protein
1434681	DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-DOC2-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1434682	GH5_4	fragment N-term;	Glycoside Hydrolase Family 5 protein
1434686	GH3		Glycoside Hydrolase Family 3 protein
1434775	GH48	(fragment)  splicing problem;	Glycoside Hydrolase Family 48 protein
1434949	CBM1-GH6-GH6		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 6 protein
1434972	CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1435354	GH1		Glycoside Hydrolase Family 1 protein
1435618	GH3		Glycoside Hydrolase Family 3 protein
1435778	PL3_2		Polysaccharide Lyase Family 3 protein
1435780	PL3_2		Polysaccharide Lyase Family 3 protein
1435782	PL3_2		Polysaccharide Lyase Family 3 protein
1435784	PL3_2		Polysaccharide Lyase Family 3 protein
1435790	PL3_2		Polysaccharide Lyase Family 3 protein
1436424	CBM1-GH43_37-CBM61		Carbohydrate-Binding Module Family 1  / Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 61 protein
1436615	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1436616	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1436618	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1436621	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1436635	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1436662	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1436824	GH2-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 2  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1437232	DOC2-DOC2-DOC2-DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1437245	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1437555	CBM18		Carbohydrate-Binding Module Family 18 protein
1437879	GH11	fragment N-term;	Glycoside Hydrolase Family 11 protein
1437891	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1437967	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1437980	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1438255	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1438271	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1438490	DOC2-DOC2		Non-Catalytic Module Family DOC2
1438591	GH18		Glycoside Hydrolase Family 18 protein
1438724	CE8	fragment C-term;	Carbohydrate Esterase Family 8 protein
1438954	GH6	fragment N-term;	Glycoside Hydrolase Family 6 protein
1439100	GH47		Glycoside Hydrolase Family 47 protein
1615583	GH10	fragment N-term;	Glycoside Hydrolase Family 10 protein
1615621	CBM18-GH18	(fragment)  splicing problem;	Carbohydrate-Binding Module Family 18  / Glycoside Hydrolase Family 18 protein
1615979	GH43_16-CBM6-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1616385	GT50		Glycosyltransferase Family 50 protein
1617008	GH45-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 45  / Non-Catalytic Module Family DOC2
1617094	PL1		Polysaccharide Lyase Family 1 protein
1617194	CBM87		Carbohydrate-Binding Module Family 87 protein
1617222	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1618281	CE4		Carbohydrate Esterase Family 4 protein
1618474	PL1		Polysaccharide Lyase Family 1 protein
1618586	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1619773	GH18		Glycoside Hydrolase Family 18 protein
1620069	GT17		Glycosyltransferase Family 17 protein
1620564	DOC2-DOC2		Non-Catalytic Module Family DOC2
1620569	GH114		Glycoside Hydrolase Family 114 protein
1620927	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1621549	EXPN		Distantly related to plant expansins
1621760	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1621795	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1621808	DOC2-DOC2		Non-Catalytic Module Family DOC2
1621966	DOC2-DOC2		Non-Catalytic Module Family DOC2
1622167	DOC2-DOC2		Non-Catalytic Module Family DOC2
1622188	CBM1		Carbohydrate-Binding Module Family 1 protein
1622435	CE1-CE1	fragment N-term;	Carbohydrate Esterase Family 1 protein
1622808	EXPN		Distantly related to plant expansins
1622826	GH43_2-CBM6		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6 protein
1623588	DOC2-DOC2		Non-Catalytic Module Family DOC2
1624343	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1624911	GH114		Glycoside Hydrolase Family 114 protein
1626243	GH11		Glycoside Hydrolase Family 11 protein
1626244	GH11		Glycoside Hydrolase Family 11 protein
1626249	GH10-CBM1	fragment N-term;	Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 1 protein
1626250	GH11		Glycoside Hydrolase Family 11 protein
1627686	CBM32		Carbohydrate-Binding Module Family 32 protein
1627814	GT2		Glycosyltransferase Family 2 protein
1628255	GH10-CBM29-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 10  / Carbohydrate-Binding Module Family 29  / Non-Catalytic Module Family DOC2
1628421	GH5_4	fragment N-term;	Glycoside Hydrolase Family 5 protein
1629579	GT17	fragment N-term;	Glycosyltransferase Family 17 protein
1630250	GT2		Glycosyltransferase Family 2 protein
1630447	DOC2-DOC2		Non-Catalytic Module Family DOC2
1630546	CE4		Carbohydrate Esterase Family 4 protein
1633288	GH30_5	fragment N-term;	Glycoside Hydrolase Family 30 protein
1633472	GH5_7	fragment N-term;	Glycoside Hydrolase Family 5 protein
1633485	GH6	fragment N-term;	Glycoside Hydrolase Family 6 protein
1633960	DOC2-DOC2		Non-Catalytic Module Family DOC2
1633964	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1634555	GT2	(fragment)  splicing problem;	Glycosyltransferase Family 2 protein
1635047	GT4		Glycosyltransferase Family 4 protein
1635227	CBM18		Carbohydrate-Binding Module Family 18 protein
1635318	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1635321	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1635392	GT20		Glycosyltransferase Family 20 protein
1635989	GH5_4	fragment N-term;	Glycoside Hydrolase Family 5 protein
1636986	CE4		Carbohydrate Esterase Family 4 protein
1637371	GH43_4		Glycoside Hydrolase Family 43 protein
1637449	GT3		Glycosyltransferase Family 3 protein
1638558	GT10	fragment N-term;	Glycosyltransferase Family 10 protein
1639452	CBM10		Carbohydrate-Binding Module Family 10 protein
1639598	DOC2		Non-Catalytic Module Family DOC2
1639615	CBM10-CBM10		Carbohydrate-Binding Module Family 10 protein
1640638	CBM87-CE18		Carbohydrate-Binding Module Family 87  / Carbohydrate Esterase Family 18 protein
1643005	GH43_35		Glycoside Hydrolase Family 43 protein
1643019	GH43_16-CBM6		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6 protein
1643233	GH3-DOC2-GH6-DOC2-DOC2		Glycoside Hydrolase Family 3  / Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1643275	GH5_7	fragment N-term;	Glycoside Hydrolase Family 5 protein
1643845	GH74-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 74  / Non-Catalytic Module Family DOC2
1645086	DOC2		Non-Catalytic Module Family DOC2
1645294	CBM18		Carbohydrate-Binding Module Family 18 protein
1645361	DOC2-DOC2-GH16		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 16 protein
1645396	CBM26-GH31		Carbohydrate-Binding Module Family 26  / Glycoside Hydrolase Family 31 protein
1645399	GH31		Glycoside Hydrolase Family 31 protein
1645402	GH31		Glycoside Hydrolase Family 31 protein
1645405	GH31		Glycoside Hydrolase Family 31 protein
1645658	GT17		Glycosyltransferase Family 17 protein
1645850	DOC2-DOC2		Non-Catalytic Module Family DOC2
1646956	DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
1646957	DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
1647010	DOC2-DOC2-GH97		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 97 protein
1647358	CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1648016	GT2		Glycosyltransferase Family 2 protein
1648094	CBM10		Carbohydrate-Binding Module Family 10 protein
1648349	DOC2-DOC2		Non-Catalytic Module Family DOC2
1648413	GH114		Glycoside Hydrolase Family 114 protein
1649260	DOC2-DOC2		Non-Catalytic Module Family DOC2
1649267	DOC2-DOC2		Non-Catalytic Module Family DOC2
1649345	GH78		Glycoside Hydrolase Family 78 protein
1649366	PL1		Polysaccharide Lyase Family 1 protein
1649418	CBM18	(fragment)  splicing problem;	Carbohydrate-Binding Module Family 18 protein
1651162	GT2		Glycosyltransferase Family 2 protein
1651165	GT2		Glycosyltransferase Family 2 protein
1651396	GH74-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 74  / Non-Catalytic Module Family DOC2
1651625	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1651627	CBM18		Carbohydrate-Binding Module Family 18 protein
1651965	GT34	fragment C-term;	Glycosyltransferase Family 34 protein
1652131	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1652197	GH32	fragment N-term;	Glycoside Hydrolase Family 32 protein
1652204	GH32	fragment N-term;	Glycoside Hydrolase Family 32 protein
1652282	GH32	fragment N-term;	Glycoside Hydrolase Family 32 protein
1652286	GH32	fragment N-term;	Glycoside Hydrolase Family 32 protein
1652364	CBM18		Carbohydrate-Binding Module Family 18 protein
1652981	CBM32		Carbohydrate-Binding Module Family 32 protein
1652986	GH6	fragment N-term;	Glycoside Hydrolase Family 6 protein
1653617	GH30_3		Glycoside Hydrolase Family 30 protein
1653640	DOC2-DOC2-GH141		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 141 protein
1653949	CE4		Carbohydrate Esterase Family 4 protein
1654704	CBM52-GH64		Carbohydrate-Binding Module Family 52  / Glycoside Hydrolase Family 64 protein
1654705	GT2		Glycosyltransferase Family 2 protein
1656317	CBM52-CBM52-GH16_3		Carbohydrate-Binding Module Family 52  / Glycoside Hydrolase Family 16 protein
1658798	CBM18		Carbohydrate-Binding Module Family 18 protein
1660710	GT17		Glycosyltransferase Family 17 protein
1661037	GH3	fragment N-term / C-term;	Glycoside Hydrolase Family 3 protein
1661086	GT2		Glycosyltransferase Family 2 protein
1661449	GH5_7		Glycoside Hydrolase Family 5 protein
1661511	CE4		Carbohydrate Esterase Family 4 protein
1661544	GT34		Glycosyltransferase Family 34 protein
1663489	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1663533	GH45-DOC2-DOC2		Glycoside Hydrolase Family 45  / Non-Catalytic Module Family DOC2
1663557	CBM10-CBM10-CBM10-GH45		Carbohydrate-Binding Module Family 10  / Glycoside Hydrolase Family 45 protein
1663667	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1664119	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1664618	CBM18-CBM18-CBM18-CBM18-CBM18-CE4		Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
1664767	CBM18-CBM18-CBM18-CE4		Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
1665893	DOC2-DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1668243	DOC2		Non-Catalytic Module Family DOC2
1668442	GT71	fragment C-term;	Glycosyltransferase Family 71 protein
1668929	GH43_16-CBM6-GH43_22		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 6 protein
1668993	GH16_21	(fragment)  splicing problem;	Glycoside Hydrolase Family 16 protein
1669041	DOC2-DOC2		Non-Catalytic Module Family DOC2
1669150	CBM18-CBM18-CBM18-GH18		Carbohydrate-Binding Module Family 18  / Glycoside Hydrolase Family 18 protein
1669299	GH10		Glycoside Hydrolase Family 10 protein
1669300	GH10		Glycoside Hydrolase Family 10 protein
1669319	GT2		Glycosyltransferase Family 2 protein
1669671	GH1	fragment C-term;	Glycoside Hydrolase Family 1 protein
1669903	GT39		Glycosyltransferase Family 39 protein
1670129	GT39	fragment C-term;	Glycosyltransferase Family 39 protein
1670379	GH10	fragment N-term;	Glycoside Hydrolase Family 10 protein
1670380	GH10	fragment N-term;	Glycoside Hydrolase Family 10 protein
1670382	GH10-GH10	fragment N-term;	Glycoside Hydrolase Family 10 protein
1670560	DOC2-EXPN		Non-Catalytic Module Family DOC2 / Distantly related to plant expansins
1670916	CBM35-GH26-DOC2-DOC2		Carbohydrate-Binding Module Family 35  / Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
1670977	CBM35-GH26-DOC2-DOC2		Carbohydrate-Binding Module Family 35  / Glycoside Hydrolase Family 26  / Non-Catalytic Module Family DOC2
1672259	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1672285	GT34		Glycosyltransferase Family 34 protein
1673177	GH5_7		Glycoside Hydrolase Family 5 protein
1673410	CBM50-CBM50-CE4		Carbohydrate-Binding Module Family 50  / Carbohydrate Esterase Family 4 protein
1673572	GT71		Glycosyltransferase Family 71 protein
1673649	GT39		Glycosyltransferase Family 39 protein
1674298	CBM25		Carbohydrate-Binding Module Family 25 protein
1674340	DOC2-DOC2-GH43_4		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 43 protein
1675383	DOC2		Non-Catalytic Module Family DOC2
1675743	GH48-DOC2-DOC2		Glycoside Hydrolase Family 48  / Non-Catalytic Module Family DOC2
1675793	CBM1-DOC2-DOC2-CBM1-CBM1-CBM1		Carbohydrate-Binding Module Family 1  / Non-Catalytic Module Family DOC2
1677182	GT2		Glycosyltransferase Family 2 protein
1677329	GT2		Glycosyltransferase Family 2 protein
1677641	CBM87		Carbohydrate-Binding Module Family 87 protein
1677771	GT4		Glycosyltransferase Family 4 protein
1677895	DOC2-DOC2		Non-Catalytic Module Family DOC2
1679204	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1679267	GH5_5-CBM10-DOC2-DOC2		Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 10  / Non-Catalytic Module Family DOC2
1681937	GT31		Glycosyltransferase Family 31 protein
1682074	DOC2-DOC2-GH43_4		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 43 protein
1682780	CE4		Carbohydrate Esterase Family 4 protein
1684881	CBM87-CE18-DOC2		Carbohydrate-Binding Module Family 87  / Carbohydrate Esterase Family 18  / Non-Catalytic Module Family DOC2
1684958	GH115	fragment N-term;	Glycoside Hydrolase Family 115 protein
1684965	GH115	fragment N-term;	Glycoside Hydrolase Family 115 protein
1685944	GH13_28-CBM26-CBM25		Glycoside Hydrolase Family 13  / Carbohydrate-Binding Module Family 26  / Carbohydrate-Binding Module Family 25 protein
1686178	GH31		Glycoside Hydrolase Family 31 protein
1686184	GH25		Glycoside Hydrolase Family 25 protein
1686287	GH3-DOC2-DOC2		Glycoside Hydrolase Family 3  / Non-Catalytic Module Family DOC2
1686435	CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1686954	GT4		Glycosyltransferase Family 4 protein
1687992	GH2-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 2  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1689482	GT71		Glycosyltransferase Family 71 protein
1692143	GH43_10	fragment C-term;	Glycoside Hydrolase Family 43 protein
1692153	GH115	fragment N-term;	Glycoside Hydrolase Family 115 protein
1692356	GH114		Glycoside Hydrolase Family 114 protein
1692729	DOC2-DOC2		Non-Catalytic Module Family DOC2
1692976	GT20		Glycosyltransferase Family 20 protein
1693012	GT17		Glycosyltransferase Family 17 protein
1693933	CBM48		Carbohydrate-Binding Module Family 48 protein
1695289	DOC2-DOC2		Non-Catalytic Module Family DOC2
1695736	DOC2-GH10		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 10 protein
1696249	CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1696937	GT2		Glycosyltransferase Family 2 protein
1697253	DOC2-DOC2		Non-Catalytic Module Family DOC2
1698047	EXPN		Distantly related to plant expansins
1698506	CBM13-DOC2		Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1698684	DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1698766	CE4	fragment N-term;	Carbohydrate Esterase Family 4 protein
1699418	DOC2-GH26		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 26 protein
1699420	GH43_10-CBM13-DOC2-DOC2		Glycoside Hydrolase Family 43  / Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1699789	DOC2		Non-Catalytic Module Family DOC2
1700141	CBM18-DOC2-DOC2-DOC2		Carbohydrate-Binding Module Family 18  / Non-Catalytic Module Family DOC2
1701549	DOC2-DOC2		Non-Catalytic Module Family DOC2
1701550	DOC2		Non-Catalytic Module Family DOC2
1702466	GH38		Glycoside Hydrolase Family 38 protein
1703845	GH18-DOC2-DOC2		Glycoside Hydrolase Family 18  / Non-Catalytic Module Family DOC2
1704317	DOC2-GH105		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 105 protein
1704666	DOC2-DOC2		Non-Catalytic Module Family DOC2
1704669	GT17		Glycosyltransferase Family 17 protein
1704966	DOC2-GH105		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 105 protein
1704981	GH114		Glycoside Hydrolase Family 114 protein
1704991	GT71		Glycosyltransferase Family 71 protein
1705136	GH13_25-GH133		Glycoside Hydrolase Family 13  / Glycoside Hydrolase Family 133 protein
1705215	CBM18-GH18-DOC2-DOC2		Carbohydrate-Binding Module Family 18  / Glycoside Hydrolase Family 18  / Non-Catalytic Module Family DOC2
1705506	DOC2-DOC2		Non-Catalytic Module Family DOC2
1705536	CBM87-CE18-CBM1		Carbohydrate-Binding Module Family 87  / Carbohydrate Esterase Family 18  / Carbohydrate-Binding Module Family 1 protein
1705800	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1706214	CBM21		Carbohydrate-Binding Module Family 21 protein
1707192	DOC2-DOC2		Non-Catalytic Module Family DOC2
1707418	GH5_8-CBM10-CBM10		Glycoside Hydrolase Family 5  / Carbohydrate-Binding Module Family 10 protein
1707721	DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1708128	DOC2-DOC2-DOC2-DOC2		Non-Catalytic Module Family DOC2
1708129	CBM18-DOC2-DOC2-DOC2		Carbohydrate-Binding Module Family 18  / Non-Catalytic Module Family DOC2
1711127	GH28		Glycoside Hydrolase Family 28 protein
1711137	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1712218	CBM1		Carbohydrate-Binding Module Family 1 protein
1713574	GT2		Glycosyltransferase Family 2 protein
1714793	GT22		Glycosyltransferase Family 22 protein
1714985	GH13_28-CBM26-CBM25		Glycoside Hydrolase Family 13  / Carbohydrate-Binding Module Family 26  / Carbohydrate-Binding Module Family 25 protein
1714991	DOC2-DOC2		Non-Catalytic Module Family DOC2
1715210	CBM18-CBM18-CBM18-CBM18-CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1715216	DOC2-DOC2-CE1-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1715290	GH43_4		Glycoside Hydrolase Family 43 protein
1715293	GH43_4		Glycoside Hydrolase Family 43 protein
1715295	GH43_4		Glycoside Hydrolase Family 43 protein
1716773	GH3	fragment N-term / C-term;	Glycoside Hydrolase Family 3 protein
1716777	GH3	fragment N-term;	Glycoside Hydrolase Family 3 protein
1717649	GH43_35		Glycoside Hydrolase Family 43 protein
1717656	GH43_35		Glycoside Hydrolase Family 43 protein
1717881	GT24		Glycosyltransferase Family 24 protein
1718173	CBM1		Carbohydrate-Binding Module Family 1 protein
1719149	EXPN		Distantly related to plant expansins
1719444	CE4		Carbohydrate Esterase Family 4 protein
1719549	GH31		Glycoside Hydrolase Family 31 protein
1722995	CBM18		Carbohydrate-Binding Module Family 18 protein
1723346	GT32		Glycosyltransferase Family 32 protein
1723925	CBM48		Carbohydrate-Binding Module Family 48 protein
1724151	CBM18-CBM18-CBM18-CE4		Carbohydrate-Binding Module Family 18  / Carbohydrate Esterase Family 4 protein
1724272	DOC2-DOC2-DOC2-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1724478	GH26-CBM10		Glycoside Hydrolase Family 26  / Carbohydrate-Binding Module Family 10 protein
1724585	EXPN		Distantly related to plant expansins
1724823	CBM21		Carbohydrate-Binding Module Family 21 protein
1724954	GH13		Glycoside Hydrolase Family 13 protein
1724955	CBM18		Carbohydrate-Binding Module Family 18 protein
1725089	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1725095	DOC2-DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1725102	DOC2-DOC2		Non-Catalytic Module Family DOC2
1725571	GH114		Glycoside Hydrolase Family 114 protein
1725810	CE4	fragment N-term;	Carbohydrate Esterase Family 4 protein
1725820	CE4	fragment N-term;	Carbohydrate Esterase Family 4 protein
1725942	PL11_2		Polysaccharide Lyase Family 11 protein
1725966	DOC2-DOC2-DOC2-GH5_1		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 5 protein
1727135	PL1		Polysaccharide Lyase Family 1 protein
1727155	CBM1		Carbohydrate-Binding Module Family 1 protein
1727158	CBM1		Carbohydrate-Binding Module Family 1 protein
1727163	CBM1		Carbohydrate-Binding Module Family 1 protein
1727235	GT8		Glycosyltransferase Family 8 protein
1727249	GH45-DOC2-DOC2		Glycoside Hydrolase Family 45  / Non-Catalytic Module Family DOC2
1728010	CBM32		Carbohydrate-Binding Module Family 32 protein
1728011	CBM32		Carbohydrate-Binding Module Family 32 protein
1728666	CBM18		Carbohydrate-Binding Module Family 18 protein
1728669	GT71		Glycosyltransferase Family 71 protein
1728696	GH3		Glycoside Hydrolase Family 3 protein
1730546	CBM18-CBM18		Carbohydrate-Binding Module Family 18 protein
1730609	DOC2-DOC2-GH6		Non-Catalytic Module Family DOC2 / Glycoside Hydrolase Family 6 protein
1731818	CBM18		Carbohydrate-Binding Module Family 18 protein
1731976	DOC2-CE1		Non-Catalytic Module Family DOC2 / Carbohydrate Esterase Family 1 protein
1732030	CBM13-DOC2		Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1732128	GH25		Glycoside Hydrolase Family 25 protein
1732238	CE4		Carbohydrate Esterase Family 4 protein
1732239	CE4		Carbohydrate Esterase Family 4 protein
1732338	DOC2-CBM1		Non-Catalytic Module Family DOC2 / Carbohydrate-Binding Module Family 1 protein
1733487	GH9-DOC2-DOC2-DOC2		Glycoside Hydrolase Family 9  / Non-Catalytic Module Family DOC2
1733904	CBM13-DOC2-DOC2		Carbohydrate-Binding Module Family 13  / Non-Catalytic Module Family DOC2
1734151	CBM13-GH43_19-DOC2-DOC2		Carbohydrate-Binding Module Family 13  / Glycoside Hydrolase Family 43  / Non-Catalytic Module Family DOC2
1735186	GH47		Glycoside Hydrolase Family 47 protein
1735213	GH47		Glycoside Hydrolase Family 47 protein
1735397	GT2		Glycosyltransferase Family 2 protein
1736054	GH5_4-DOC2-DOC2	fragment N-term;	Glycoside Hydrolase Family 5  / Non-Catalytic Module Family DOC2
1736297	CBM1-CE4		Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 4 protein
1736347	CBM1-CE4		Carbohydrate-Binding Module Family 1  / Carbohydrate Esterase Family 4 protein
1736378	GH115		Glycoside Hydrolase Family 115 protein
1736465	GT34		Glycosyltransferase Family 34 protein
1736504	DOC2-DOC2		Non-Catalytic Module Family DOC2
1736788	GH11	fragment C-term;	Glycoside Hydrolase Family 11 protein
1736837	GT34		Glycosyltransferase Family 34 protein
1737033	GT1		Glycosyltransferase Family 1 protein
